TIME,AREA,SRC_NUCL,SRC_BCOAL,SRC_HCOAL,SRC_OIL,SRC_LNG,SRC_PUMP,SRC_FUELCELL,SRC_COALGAS,SRC_SOLAR,SRC_WIND,SRC_WATER,SRC_SEA,SRC_BIO,SRC_WASTE,SRC_RECYCLE_SUM,SRC_OTHER,SRC_ALL,RECYCLE_PERCENT
12-16,인천,0,5080,0,30.53,8576.747,0,18.6,0,32.629249,49,13.599,0,64.96,4.7,183.488249,0,13870.76525,1.322841572
12-16,광주,0,0,0,0,115.246,0,0,0,69.477833,0,1.81,0,2.14,1.26,74.687833,0,189.933833,39.32307995
12-16,대전,0,0,0,88,48.3,0,0,0,15.864458,0,0,0,0.099,0,15.963458,0,152.263458,10.48410315
12-16,울산,1400,0,0,1200,2071.9,0,2.8,0,10.548167,1.65,0.3,0,0,16.4,31.698167,0,4703.598167,0.673913159
12-16,경기,0,76.955,0,1443.44,11600.417,400,91.42,0,173.165512,5.25,275.645,254,8.15,28.7,836.330512,0,14357.14251,5.825187786
12-16,강원,0,1022,725,0,848,1000,0,0,183.4666,255.287,514.083,0,30.6,14.278,997.7146,0,4592.7146,21.72385369
12-16,충북,0,0,0,61.4,0,0,0,0,153.346573,0,510.104,0,2.045,57.154,722.649573,0,784.049573,92.16886252
12-16,충남,0,14910.2,400,468.55,2867.45,0,3.7,346.33,440.744762,2,32.829,0,140.64,806.33,1772.573762,0,20418.77376,8.681098006
12-16,전북,0,851.769,0,6.58,718.4,600,4.8,0,718.039292,19.5,74.805,0,62.107,10.455,889.706292,0,3066.455292,29.01416154
12-16,전남,5900,1481.1,0,19.01,2378.9,0,15.4,0,963.849871,194.15,39.221,1.11,6.169,293,1512.899871,0,11291.90987,13.39808667
12-16,경북,10678.683,144.5,0,30.1,361.6,1400,2.7,0,434.640284,197.06,179.48,0,2.45,276.045,1092.375284,0,13707.25828,7.969320059
12-16,경남,0,7240,0,43.24,0,1300,0,0,274.926921,45.75,136.54,0,4.236,4.733,466.185921,0,9049.425921,5.151552431
12-16,제주,0,0,0,706.19,0,0,0,0,101.340123,271.6094,0.46,0,6.949,0,380.358523,0,1086.548523,35.00612397
12-16,세종,0,0,0,0,530.441,0,0,0,20.165999,0,2.31,0,5,2.45,29.925999,0,560.366999,5.340428514
12-16,소계,23115.683,30898.424,1125,4140.54,32602.101,4700,214.82,346.33,3716.318274,1051.0064,1785.211,255.11,353.258,1561.755,9283.808674,0,105865.5567,8.769432633
12-15,서울,0,0,0,0,451.5,0,24.4,0,23.844437,0,0.3,0,5.8,23.45,77.794437,0,529.294437,14.69776207
12-15,부산,5137,19,0,0,1800,0,6.8,0,61.201936,9.75,0.055,0,6.348,31.8,115.954936,0,7071.954936,1.639644724
12-15,대구,0,72.9,0,43.5,370.7,0,11.2,0,27.876897,0,3.56,0,1.5,5.7,49.836897,0,536.936897,9.281704662
12-15,인천,0,5080,0,30.78,8576.747,0,13.6,0,23.38755,49,13.599,0,63.88,4.78,168.24655,0,13855.77355,1.21427035
12-15,광주,0,0,0,0,115.246,0,0,0,53.668154,0,1.05,0,2.14,3.06,59.918154,0,175.164154,34.20685833
12-15,대전,0,0,0,88,48.3,0,0,0,14.959238,0,0,0,3.559,0,18.518238,0,154.818238,11.96127681
12-15,울산,0,0,0,1200,2071.9,0,2.8,0,7.717467,1.65,0.3,0,0,0,12.467467,0,3284.367467,0.379600246
12-15,경기,0,76.95,0,1524.24,11104.317,400,85.7,0,127.341172,5.25,277.13,254,4.16,31.94,785.521172,0,13891.02817,5.654881426
12-15,강원,0,0,725,0,848,1000,0,0,125.355281,206.188,511.683,0,30,14.278,887.504281,0,3460.504281,25.64667485
12-15,충북,0,0,0,61.4,0,0,0,0,83.931025,0,509.394,0,4.121,58.094,655.540025,0,716.940025,91.43582477
12-15,충남,0,12000,400,468.55,2867.45,0,3.7,0,232.052423,0,27.829,0,100.79,805.14,1169.511423,0,16905.51142,6.917929862
12-15,전북,0,572.43,0,27.58,718.4,600,4.8,0,465.726166,19.598,72.235,0,6.34,45.742,614.441166,0,2532.851166,24.25887372
12-15,전남,5900,996.13,0,19.01,2378.9,0,15.4,0,698.276116,126.3,40.413,1,5.819,293,1180.208116,0,10474.24812,11.26771204
12-15,경북,10678.683,144.5,0,30.1,361.6,1400,2.7,0,273.260051,182.96,173.821,0,2.45,276.985,912.176051,0,13527.05905,6.743343454
12-15,경남,0,7240,0,43.24,0,1300,0.3,0,219.069595,13.02,136.54,0,3.936,8.483,381.348595,0,8964.588595,4.253944182
12-15,제주,0,0,0,706.19,0,0,0,0,84.940209,220.6994,0.49,0,4.049,1.2,311.378609,0,1017.568609,30.60025695
12-15,세종,0,0,0,0,530.441,0,0,0,14.95012,0,2.31,0,0,2.45,19.71012,0,550.15112,3.582673793
12-15,소계,21715.683,26201.91,1125,4242.59,32243.501,4700,171.4,0,2537.557837,834.4154,1770.709,255,244.892,1606.102,7420.076237,0,97648.76024,7.598740853
12-14,서울,0,0,0,0,451.5,0,24.4,0,22.305088,0,0.3,0,0,18.45,65.455088,0,516.955088,12.66165853
12-14,부산,5137,19,0,0,1800,0,6.8,0,52.616886,9.75,0.055,0,8.116,26,103.337886,0,7059.337886,1.463846719
12-14,대구,0,72.9,0,43.5,370.7,0,11.2,0,22.741599,0,3.56,0,1.5,3,42.001599,0,529.101599,7.938286159
12-14,인천,0,5080,0,30.78,8651.147,0,13.6,0,20.69356,49,13.599,0,68.68,2.98,168.55256,0,13930.47956,1.209955187
12-14,광주,0,0,0,0,115.246,0,0,0,27.124056,0,1.05,0,2.12,1.26,31.554056,0,146.800056,21.49458036
12-14,대전,0,0,0,88,48.3,0,0,0,11.623289,0,0,0,3.559,0,15.182289,0,151.482289,10.02248454
12-14,울산,0,0,0,1200,2071.9,0,2.8,0,5.629819,1.65,0.55,0,0,0,10.629819,0,3282.529819,0.323830082
12-14,경기,0,76.95,0,1548.24,8999.706,400,80.7,0,84.022134,5.25,277.13,254,4.16,26.44,731.702134,0,11756.59813,6.223757295
12-14,강원,0,0,725,0,848,1000,0,0,69.984485,199.52,510.72,0,30,3.788,814.012485,0,3387.012485,24.03334764
12-14,충북,0,0,0,61.4,0,0,0,0,55.339468,0,509.394,0,3.61,37.547,605.890468,0,667.290468,90.79860976
12-14,충남,0,12000,400,468.55,3397.891,0,2.7,0,147.971428,0,30.139,0,0.06,800,980.870428,0,17247.31143,5.687091766
12-14,전북,0,269.43,0,27.58,718.4,600,5.8,0,340.390836,9.998,71.177,0,2.95,44.192,474.507836,0,2089.917836,22.7046168
12-14,전남,5900,996.13,0,19.01,2378.9,0,10.4,0,485.343905,68,39.671,1,5.24,293,902.654905,0,10196.69491,8.852426334
